id,name,sequence,description,amount,amount_type,type_tax_use,tax_group_id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,price_include_override,l10n_avatar_py_tax_assessment,l10n_avatar_py_base_tax,l10n_avatar_py_withholding_payment_type
tax_sale_10,IVA 10%,10,IVA Venta 10%,10,percent,sale,tax_group_10,,,,tax_included,1,100,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_21020102,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_21020102,,,,
tax_sale_5,IVA 5%,20,IVA Venta 5%,5,percent,sale,tax_group_5,,,,tax_included,1,100,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_21020103,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_21020103,,,,
tax_sale_exempt,IVA Exento,30,IVA Venta Exento,0,percent,sale,tax_group_exempt,,,,tax_included,3,0,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_21020103,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_21020103,,,,
tax_purchase_10,IVA 10%,15,IVA Compra 10%,10,percent,purchase,tax_group_10,,,,tax_included,1,100,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_11030303,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_11030303,,,,
tax_purchase_5,IVA 5%,25,IVA Compra 5%,5,percent,purchase,tax_group_5,,,,tax_included,1,100,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_11030304,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_11030304,,,,
tax_purchase_exempt,IVA Exento,35,IVA Compra Exento,0,percent,purchase,tax_group_exempt,,,,tax_included,3,0,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_11030303,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_11030303,,,,
tax_sale_dwelling_5,IVA Inmuebles,50,IVA Inmuebles,1.5,percent,sale,tax_group_5,,,,tax_included,4,30,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_21020103,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_21020103,,,,
tax_purchase_dwelling_5,IVA Inmuebles,55,IVA Inmuebles,1.5,percent,purchase,tax_group_5,,,,tax_included,4,30,
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_11030304,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_11030304,,,,
tax_ret_profits_incurred,Ret IRE,4,Retención Imp. a la Renta,0,percent,none,tax_group_retention,,,,,,,customer
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_11030301,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_11030301,,,,
tax_ret_vat_applied,Ret IVA,4,Retención IVA,0,percent,none,tax_group_retention,,,,,,,supplier
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_21020105,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_21020105,,,,
tax_ret_vat_incurred,Ret IVA,4,Retención IVA,0,percent,none,tax_group_retention,,,,,,,customer
"",,,,,,,,base,invoice,,,,,
"",,,,,,,,tax,invoice,py_acc_chart_11030302,,,,
"",,,,,,,,base,refund,,,,,
"",,,,,,,,tax,refund,py_acc_chart_11030302,,,,
