id,name,sequence,description,amount,amount_type,type_tax_use,tax_group_id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,price_include_override,l10n_py_tax_base_percent
tax_sale_10,TAX 10%,10,TAX Sale (10%),10,percent,sale,tax_group_10,base,invoice,,tax_included,100
,,,,,,,,tax,invoice,py_acc_chart_21020102,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_21020102,,
tax_sale_5,TAX 5%,20,TAX Sale (5%),5,percent,sale,tax_group_5,base,invoice,,tax_included,100
,,,,,,,,tax,invoice,py_acc_chart_21020103,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_21020103,,
tax_sale_exempt,TAX Exempt,30,TAX Sale Exempt,0,percent,sale,tax_group_exempt,base,invoice,,tax_included,100
,,,,,,,,tax,invoice,py_acc_chart_21020103,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_21020103,,
tax_purchase_10,TAX 10%,15,TAX Purchase (10%),10,percent,purchase,tax_group_10,base,invoice,,tax_included,100
,,,,,,,,tax,invoice,py_acc_chart_11030303,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_11030303,,
tax_purchase_5,TAX 5%,25,TAX Purchase (5%),5,percent,purchase,tax_group_5,base,invoice,,tax_included,100
,,,,,,,,tax,invoice,py_acc_chart_11030304,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_11030304,,
tax_purchase_exempt,TAX Exempt,35,TAX Purchase Exempt,0,percent,purchase,tax_group_exempt,base,invoice,,tax_included,100
,,,,,,,,tax,invoice,py_acc_chart_11030303,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_11030303,,
tax_sale_dwelling_5,TAX dwelling 5%,50,TAX dwelling 5%,1.5,percent,sale,tax_group_5,base,invoice,,tax_included,30
,,,,,,,,tax,invoice,py_acc_chart_21020103,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_21020103,,
tax_purchase_dwelling_5,TAX dwelling 5%,55,TAX dwelling 5%,1.5,percent,purchase,tax_group_5,base,invoice,,tax_included,30
,,,,,,,,tax,invoice,py_acc_chart_11030304,,
,,,,,,,,base,refund,,,
,,,,,,,,tax,refund,py_acc_chart_11030304,,
